Date|Time|Description
2026-01-25|06:57:06|POWEROUTAGE WEBSITE: 732 313 NUMBER OF POWER OUTAGE REPORTED IN US AS OF 8:55 AM ET
2026-01-25|07:11:06|🚨 **SHUTDOWN RISK JUMPS AS DEMOCRATS BLOCK DHS FUNDING ** Markets now show a **75% chance of a government shutdown **as Senate Democrats  led by Chuck Schumer  vow to block a spending bill unless funding for the Department of Homeland Security is removed.  The move follows the killing of an American nurse by a Border Patrol agent in Minnesota  intensifying claims that DHS has become unaccountable and abusive. https://kalshi.com/markets/kxgovshut/government-shutdown/kxgovshut-26jan31
2026-01-25|07:11:07|↧
2026-01-25|07:15:06|🇯🇵 YE**N INTERVENTION WARNING SHAKES MARKETS  **Markets are on high alert after Japan’s Prime Minister Sanae Takaichi warned of action against “abnormal” yen moves  fueling speculation of imminent currency intervention — possibly with U.S. support.  Traders reported the New York Fed contacting banks about the yen  a move often seen as a precursor to intervention. The yen rebounded sharply after sliding toward 160 per dollar  its biggest one-day gain since August.  With short yen positions at decade highs and elections approaching  officials appear ready to act again  especially if the currency weakens further.
2026-01-25|09:56:07|🚨 CHINA'S TOP GENERAL ACCUSED OF GIVING NUCLEAR SECRETS TO U.S.--SOURCES
2026-01-25|09:59:07|🇨🇳 C**HINA’S TOP GENERAL ACCUSED OF LEAKING NUCLEAR SECRETS  **China’s most senior general  Zhang Youxia  is under investigation for allegedly leaking nuclear weapons data to the U.S.  taking massive bribes  and abusing his power within the military’s top command.  Officials also accuse him of selling promotions  forming political cliques  and undermining party control of the armed forces. The probe follows a broader purge of senior military leaders under President Xi Jinping.  Analysts say the case marks the most severe crackdown on China’s military leadership in decades and could impact the country’s military readiness.
2026-01-25|10:01:07|**CRUZ SLAMS TRUMP TARIFFS AND VANCE IN SECRET RECORDINGS**  In private donor meetings  Sen. Ted Cruz sharply criticized President Trump’s tariffs and Vice President JD Vance  according to recordings obtained by Axios.  Cruz warned the tariffs could wreck the economy and lead to impeachment  recounting a heated call where Trump allegedly cursed at him. He also mocked Trump’s “Liberation Day” branding and accused Vance of being influenced by Tucker Carlson and advancing a non-interventionist agenda.  The recordings reveal Cruz positioning himself as a pro–free trade  hawkish Republican ahead of a potential 2028 run.
2026-01-25|10:44:07|SMARDEX UNVEILS FIRST ALL-IN-ONE DEFI ENGINE  REBRANDS AS http://EVERYTHING.INC
2026-01-25|10:44:08|↧
2026-01-25|11:16:07|DOLLAR/YEN  DIPS  DOWN 0.47% AT 155.00 YEN
2026-01-25|11:24:07|TRUMP: MINNESOTA IS A CRIMINAL COVER UP OF THE MASSIVE FINANCIAL FRAUD THAT HAS GONE ON
2026-01-25|14:20:07|TRUMP: CHINA TAKING OVER CANADA  US President Donald Trump claimed that China is “successfully and completely taking over” Canada through a potential trade deal. Posting on Truth Social  he warned the agreement would be “one of the worst in history ” said Canada is “systematically destroying itself ” and added  “leave Ice Hockey alone.”  Trump also threatened a 100% tariff on Canada if it proceeds  arguing the country would become a “drop-off port” for Chinese goods entering the US  while saying he wants Canada to “survive and thrive.”
2026-01-25|16:04:08|SPOT GOLD HITS RECORD HIGH ABOVE $5 000/OZ
2026-01-25|17:07:08|TRUMP SAYS ADMINISTRATION IS ‘REVIEWING EVERYTHING’ ABOUT MINNEAPOLIS SHOOTING
2026-01-25|17:07:09|TRUMP ALSO SIGNALED A WILLINGNESS TO EVENTUALLY WITHDRAW IMMIGRATION ENFORCEMENT OFFICIALS FROM THE MINNEAPOLIS AREA
2026-01-25|20:46:09|JAPAN FINMIN KATAYAMA: WATCHING MARKET MOVES WITH HIGH SENSE OF URGENCY
2026-01-25|20:47:11|JAPAN FINMIN KATAYAMA: WON'T COMMENT ON FOREX
2026-01-25|20:47:11|JAPAN FINMIN KATAYAMA: WON'T COMMENT ON FOREX
2026-01-26|05:33:10|SPOT SILVER HITS A FRESH RECORD HIGH AT $110.46/OZ  LAST UP OVER 7%
2026-01-26|06:05:10|$MSTR - STRATEGY BUYS 2 932 BITCOIN FOR AGGREGATE PURCHASE PRICE $264.1M  STRATEGY BUYS 2 932 BITCOIN JAN. 20 TO JAN. 25
2026-01-26|06:05:11|$NVDA - COREWEAVE INC - NVIDIA INVESTS $2 BLN IN COREWEAVE AT $87.20 PER SHARE
2026-01-26|06:07:10|$CRWV - COREWEAVE SHARES UP 9% PREMARKET AFTER  NVIDIA INVESTS $2 BLN IN CO
2026-01-26|06:27:10|🇮🇳 INDIA TRADE SECY : INDIA-EU HAVE CONCLUDED TALKS OVER TRADE AGREEMENT  DEAL TO BE ANNOUNCED TOMORROW
2026-01-26|06:32:10|**U.S. DURABLES SURGE IN NOVEMBER**  🔸Headline durable goods orders: +5.3% (vs. +3.2% expected; Oct -2.1%)  🔸Ex-transportation orders: +0.5% (vs. +0.3%; Oct +0.1%)  🔸Ex-defense orders: +6.6% (Oct -1.3%)  🔸Core capex orders (nondefense ex-aircraft): +0.7% (vs. +0.3%; Oct +0.3%)  🔸Shipments: total durables -0.2% (Oct +0.5%); core capex +0.4% (Oct +0.8%)
2026-01-26|06:33:10|🚨 TRUMP: SENDING TOM HOMAN TO MINNESOTA TONIGHT
2026-01-26|06:34:10|TRUMP: DOJ AND CONGRESS ARE LOOKING AT REP. OMAR
2026-01-26|06:37:10|**FEDERAL ACTION IN MINNESOTA**  Trump: I am sending Tom Homan to Minnesota tonight. He will report directly to me. A major investigation is underway into over $20 billion in welfare fraud  which may be linked to recent violent protests. The DOJ and Congress are also reviewing Congresswoman Ilhan Omar’s finances. Further details will follow.
2026-01-26|06:47:10|**GOLDMAN: FED TO HOLD STEADY**  Goldman Sachs expects the January FOMC meeting to be uneventful  with broad consensus to keep rates unchanged. Governors Waller and Bowman are likely to support the decision  leaving Stephen Miran as the lone dissenter. Goldman forecasts two rate cuts in 2026  likely starting in June.
2026-01-26|06:56:10|$F** - PIPER SANDLER: FORD TOP PICK FOR 2026**  Piper Sandler reiterated an Overweight rating and $16 price target on Ford. The firm sees potential upside from lower warranty costs  which could add up to $2.8B in incremental EBIT and boost EPS by $0.54 in 2026. Strong Ford Pro performance and improving EV losses further support the bullish view.
2026-01-26|06:57:10|**CRYPTO POISED FOR REBALANCING BOOST**  Rising gold prices and stretched equity valuations may drive portfolio rebalancing into cryptocurrencies  potentially sparking a new leg higher  according to IG. Regulatory progress in the U.K. adds support. Bitcoin is up 1.4% to $87 680  and Ether is up 2.9% to $2 901.
2026-01-26|07:00:13|**SILVER HITS RECORD ON SAFE-HAVEN DEMAND**  Silver surged to a new high  rising 7.8% to $109.28/oz after touching $110.92  as a weaker dollar and economic uncertainty boosted demand. Analysts cite strong safe-haven flows  solid industrial demand  and tightening supply  though volatility risks remain high.
2026-01-26|07:03:10|🚨 OPENAI SEEKS PREMIUM PRICES IN EARLY ADS PUSH - THE INFORMATION
2026-01-26|07:12:10|SOCIETE GENERALE SEES GOLD REACHING $6 000/OZ BY YEAR-END
2026-01-26|07:13:10|**🇯🇵 YEN RALLY COULD HAVE MORE ROOM  **Jefferies says the yen’s recovery may extend as the Bank of Japan raises rates and the Fed cuts  narrowing the U.S.–Japan rate gap. The yen should also benefit from dollar diversification amid policy uncertainty. Jefferies targets USD/JPY below 150; the dollar is down 0.9% to 154.17.
2026-01-26|07:30:10|**CITI WARNS OF RATE-DRIVEN VOLATILITY RISK**  Citigroup flags a potential “volatility event” if long-term U.S. yields rise further. The 10-year Treasury recently hit 4.31% amid trade fears but eased to 4.22% after tariff tensions cooled. Citi warns higher yields could pressure equities via deficit concerns  citing risks from pending Supreme Court tariff decisions and possible fiscal stimulus. Stocks were largely flat as markets brace for major earnings and the first 2026 Fed meeting.
2026-01-26|07:31:10|**MORGAN STANLEY: GOLD COULD HIT $5 700**  Morgan Stanley expects gold to reach $5 700/oz in H2  fueled by geopolitical uncertainty  central-bank purchases  and strong ETF demand. Central banks  led by moves like Poland’s  are increasing gold holdings despite high prices. Fed rate cuts in 2026 could further support robust physical demand.
2026-01-26|07:35:10|NOEM WILL CONTINUE TO LEAD THE DEPARTMENT OF HOMELAND SECURITY AND HAS CONFIDENCE OF TRUMP-WHITE HOUSE PRESS SECRETARY
2026-01-26|07:37:10|**YEN INTERVENTIONS SEEN AS LIKELY**  Evercore ISI warns that interventions to support the yen are highly likely. Without action  a sharp yen reversal and stronger dollar could occur. Sustained impact will require policy measures to restore fiscal confidence. The dollar is down 1.2% to 153.85 yen.
2026-01-26|07:38:11|🇨🇦 CARNEY: WE ARE FINDING NEW TRADE PARTNERS  CARNEY: NEW OPPORTUNITIES MAKE US LESS DEPENDENT ON THE US
2026-01-26|07:39:10|🇨🇦 CANADA PM CARNEY SAYS  REVIEW OF USMCA TRADE DEAL WILL BE ROBUST  CARNEY SAYS SOME OF TRUMP'S RECENT COMMENTS SHOULD BE VIEWED IN CONTEXT OF USMCA REVIEW
2026-01-26|07:40:10|$INTC - INTEL SHARES DOWN 3.6% AFTER TUMBLING 17% IN PREVIOUS SESSION
2026-01-26|07:49:10|🇨🇦 CANADA PM CARNEY SAYS HE IS NOT PLANNING ON A  SNAP ELECTION
2026-01-26|07:50:10|**TRUMP CALLS POLLING A “SCAM”**  Donald Trump says media polling is “fake and fraudulent” and should be treated as a criminal offense. He claims polls during the 2020 election were knowingly wrong and meant to influence voters  while he says he won decisively. Trump criticizes major media outlets and says action is needed to stop what he calls a polling scam.
2026-01-26|08:28:13|U.S. NATURAL GAS FUTURES EXTEND GAINS  PRICES UP BY 20% TO HIGHEST SINCE DECEMBER 2022 AS FREEZING WELLS CUT OUTPUT TO TWO-YEAR LOW
2026-01-26|08:28:14|$EV SMARDEX PRE-SALE HITS $30M IN RECORD 3-MINUTE SELL-OUT: http://EVERYTHING.INC
2026-01-26|08:28:15|↧
2026-01-26|08:30:10|**GEN Z HOMEOWNERSHIP CLIMBS  BUT GROWTH SLOWS**  In 2025  27% of Gen Zers owned homes  up from 26.1% in 2024  while millennial ownership edged to 55.4% from 54.9%  Redfin says. Gains were modest amid high costs and economic uncertainty  though slightly better affordability and rising inventory gave buyers more options. Among the oldest Gen Zers  38% own homes versus 43% of their parents at the same age.
2026-01-26|08:45:10|RUTTE: TRUMP IS DOING A LOT OF GOOD STUFF
2026-01-26|08:45:11|RUSSIAN ENERGY MINISTRY PROPOSES TO LIFT GASOLINE EXPORTS BAN AHEAD OF SCHEDULE - IFAX CITES SOURCE
2026-01-26|08:46:10|NATO'S RUTTE: ANYONE WHO THINKS EUROPE CAN DEFEND ITSELF WITHOUT U.S. SHOULD 'KEEP ON DREAMING'
2026-01-26|08:51:10|U.S. DOLLAR INDEX FALLS TO FRESH 4-MONTH LOW; LAST  DOWN 0.33% AT 96.9  🔸DOLLAR/YEN DOWN 1.3% AT 153.68 🔸STERLING UP 0.4% AT $1.3702 🔸EURO UP 0.51% AT $1.189
2026-01-26|08:54:10|**GOLDMAN SAYS INVESTOR SENTIMENT STAYS BULLISH**  Goldman Sachs reports risk appetite rose from December to January despite geopolitical tensions. Margin borrowing is at its highest since 2021  retail investors are diversifying beyond the “Magnificent Seven ” and VIX short positions hit a ten-year high  signaling confidence that volatility will ease.
2026-01-26|09:00:10|🚨 SPOT SILVER  EXTENDS RALLY  LAST UP 9% AT A RECORD HIGH OF $112.38/OZ
2026-01-26|09:01:10|$MSFT $NVDA - *MICROSOFT UNVEILS LATEST AI CHIP TO REDUCE RELIANCE ON NVIDIA
2026-01-26|09:25:10|**BLACKROCK PRIVATE DEBT FUND DROPS 17% ON LOAN WRITEDOWNS**  BlackRock’s TCP Capital fund plunged 16.7% after announcing writedowns on troubled investments  cutting its year-end NAV by 19% and waiving one-third of management fees. Losses were driven by e-commerce aggregators and bankrupt Renovo Home Partners  with six holdings accounting for two-thirds of the decline. Analysts warn the drop could reignite concerns in the private credit sector.
2026-01-26|09:32:10|http://x.com/i/article/2015824158811410432
2026-01-26|09:32:11|↧
2026-01-26|09:36:10|🚨 EUROPEAN PARLIAMENT DELAYS  DECISION ON MOVING AHEAD WITH U.S. TRADE AGREEMENT UNTIL FEB 4  EU LAWMAKER SAYS
2026-01-26|09:36:11|EU'S LANGE: NO DECISION HAS BEEN TAKEN ON THE EU-US TRADE DEAL VOTE
2026-01-26|09:39:10|TRUMP: GOVERNOR TIM WALZ CALLED ME WITH REQUEST TO WORK TOGETHER WITH RESPECT TO MINNESOTA  TRUMP: IT WAS A VERY GOOD CALL  AND WE  ACTUALLY  SEEMED TO BE ON A SIMILAR WAVELENGTH
2026-01-26|09:41:10|$GME - MICHAEL BURRY POSTS BULLISH PIECE ON GAMESTOP: SUBSTACK
2026-01-26|10:04:11|GERMAN CHANCELLOR MERZ ON MINNESOTA SHOOTING: FIND NEWS FROM U.S. WORRYING  EXPECT AMERICAN AUTHORITIES INVESTIGATE WHETHER IT WAS NECESSARY TO SHOOT
2026-01-26|10:05:11|🚨 ZELENSKIY SAYS UKRAINE-RUSSIA MEETING CAN HAPPEN ON SUNDAY  WOULD BE GOOD IF SOONER
2026-01-26|10:06:11|🚨 SPOT SILVER  EXTENDS GAINS TO HIT RECORD HIGH OF $114.61/OZ  LAST UP OVER 11%
2026-01-26|10:12:11|GAMESTOP SHARES HIT OVER THREE-MONTH HIGH  LAST UP 8%
2026-01-26|10:22:11|SPOT SILVER RISES AS MUCH AS 11.9% IN BIGGEST GAIN SINCE 2008
2026-01-26|10:33:11|U.S. NATURAL GAS FUTURES EXTEND GAINS UP OVER 33% TO OVER $7 PER MILLION BRITISH THERMAL UNITS  HIGHEST SINCE DECEMBER 2022 AS FREEZING WELLS CUT OUTPUT TO TWO-YEAR LOW
2026-01-26|10:35:11|**WORLD CUP BOYCOTT TALKS GROW AMID US-EU TENSIONS**  Calls to boycott the 2026 World Cup in the U.S. are rising as Trump’s strained relations with Europe spark criticism. FIFA’s former president Sepp Blatter urged fans to “stay away ” while German football leaders and British politicians say the tournament should be reconsidered in light of U.S. policies. The event  co-hosted with Canada and Mexico  has already faced backlash over high ticket prices.
2026-01-26|11:16:11|BLACKROCK'S RIEDER TAKES THE LEAD IN RACE FOR TRUMP'S FED CHAIR PICK - AXIOS
2026-01-26|11:22:11|WHITE HOUSE: NO ONE IN WHITE HOUSE  WANTS TO SEE ANYONE BEING KILLED ON U.S. STREETS  WHITE HOUSE: SHOOTING IN MINNEAPOLIS UNDER INVESTIGATION BY FBI  HOMELAND SECURITY AND BORDER OFFICIALS
2026-01-26|11:25:11|WHITE HOUSE: TRUMP OUTLINED PATH TO RESTORE ORDER IN CALL WITH WALZ MONDAY
2026-01-26|11:26:11|WHITE HOUSE: TRUMP CALLING ON CONGRESS TO PASS LEGISLATION ENDING SANCTUARY CITIES
2026-01-26|11:38:11|WHITE HOUSE: TRUMP TO TRAVEL TO IOWA TUESDAY TO GIVE SPEECH ON ECONOMY
2026-01-26|11:39:11|WHITE HOUSE: WALZ ASKED TRUMP TO SCALE DOWN FEDERAL AGENTS IN MINNEAPOLIS
2026-01-26|11:44:11|WHITE HOUSE: TRUMP SUPPORTS SECOND AMENDMENT RIGHTS
2026-01-26|11:48:11|WHITE HOUSE: DO NOT WANT TO SEE GOVERNMENT FUNDING LAPSE
2026-01-26|11:49:11|WHITE HOUSE: TRUMP NOT GIVING UP ON UKRAINE PEACE PROCESS
2026-01-26|12:05:11|**U.S. AIRCRAFT CARRIER ARRIVES IN MIDDLE EAST  RAISING IRAN PRESSURE**  A U.S. aircraft carrier strike group led by the USS Abraham Lincoln has reached the Middle East  strengthening President Trump’s military options against Iran. The deployment follows weeks of unrest in Iran and rising regional tensions  though the ships are expected to move closer in coming days.  Trump had considered strikes on Iran earlier this month but held back amid concerns over retaliation and pressure from Gulf allies. Iran has placed its forces on high alert and warned any U.S. attack would trigger a severe response.
2026-01-26|13:26:11|U.S. OFFICIAL SAYS WASHINGTON IS 'OPEN FOR BUSINESS' IF IRAN WISHES TO CONTACT THEM
2026-01-26|13:29:11|U.S. OFFICIAL SAYS LIST OF COUNTRIES JOINING THE BOARD OF PEACE IS NOW AT 25
2026-01-26|14:03:12|TRUMP APPROVAL ON IMMIGRATION FALLS TO 39%  LOWEST SINCE RETURN TO WHITE HOUSE  REUTERS/IPSOS POLL FINDS
2026-01-26|14:03:13|58% OF AMERICANS SAY TRUMP IMMIGRATION CRACKDOWN HAS GONE TOO FAR  REUTERS/IPSOS POLL FINDS
2026-01-26|14:05:11|TRUMP: IRAN WANTS A DEAL  Former U.S. President Donald Trump said Iran is seeking negotiations over its nuclear program  claiming  “They’ve called many times. They want to talk.”  He added that Iran is aware of the strong U.S. military presence nearby and defended U.S.-backed Israeli strikes on Iranian nuclear sites  arguing that under a different president  Iran would already have nuclear weapons and might have attacked.
2026-01-26|14:49:11|SILVER ERASES PREVIOUS GAIN OF 14%
2026-01-26|15:05:11|TRUMP: SOUTH KOREA'S LEGISLATURE IS NOT LIVING UP TO ITS DEAL WITH UNITED STATES.
2026-01-26|15:05:12|*TRUMP SAYS INCREASING TARIFF ON SOUTH KOREAN GOODS TO 25%
2026-01-26|19:11:13|SEOUL NOT INFORMED OF TRUMP TARIFF HIKE  South Korea said it has not received official notice from the U.S. about President Donald Trump’s plan to raise tariffs on Korean imports from 15% to 25%. The presidential office confirmed no formal communication or details have been provided.  Officials will hold an interagency meeting  and Industry Minister Kim Jung-hwan plans to visit Washington to discuss the issue with U.S. Commerce Secretary Howard Lutnick.
 interagency meeting  and Industry Minister Kim Jung-hwan plans to visit Washington to discuss the issue with U.S. Commerce Secretary Howard Lutnick.
2026-01-27|05:52:14|BLOOMBERG DOLLAR SPOT INDEX HITS WEAKEST LEVEL SINCE MARCH 2022
2026-01-27|06:17:14|ADP: U.S. Private Employers Added Average of 7 750 Jobs Per Week for Four Weeks Ended Jan. 3  ADP: U.S. Job Gains Edged Down for Third Straight Week
2026-01-27|06:21:14|**SILVER FRENZY**  Silver’s rally drove nearly $40B in trading volume for the iShares Silver Trust on Monday  rivaling the S&P 500 ETF and surpassing Nvidia and Tesla. Silver has more than doubled in 2025 and is up almost 60% this month—its biggest gain since 1979. Gold and mining stocks are rising too  but thin liquidity suggests speculation is driving the surge  increasing the risk of a sharp reversal.
2026-01-27|06:23:14|**🇮🇳 EU–INDIA TRADE MEGA-DEAL  **India and the EU have agreed to a massive free-trade pact covering nearly two billion consumers  opening India to European cars and goods while reducing tariffs across most trade. It’s the EU’s largest deal by population and reflects countries building new alliances in response to U.S. tariffs.  The agreement will slash India’s car tariffs from 110% to 10% over time  cut duties on machinery  chemicals  pharma  and agriculture  and save EU exporters about $4.8B a year. Labor-intensive Indian exports like apparel and jewelry will also gain tariff-free access.  The deal still needs ratification and excludes areas like energy and government procurement  but could double EU exports to India and reshape global trade ties.
2026-01-27|06:30:14|CARNEY SAYS HAD GOOD CONVERSATION WITH PRESIDENT TRUMP
2026-01-27|06:35:14|**HSBC: STAY ALL-IN ON RISK**  HSBC urges investors to remain aggressively risk-on  staying overweight equities  high-yield credit  emerging-market debt  and gold  while underweighting sovereign bonds  investment-grade credit  and oil.  The bank says markets are driven by U.S. rates and growth—not geopolitics—and sees earnings expectations as too low. It recommends rotating from rate-sensitive high-beta stocks back to mega-cap tech.  HSBC expects rate volatility to stay contained  supporting risk assets  especially U.S. stocks  Japan  eurozone banks  and emerging markets.
2026-01-27|06:46:14|TRUMP: BIG ARMADA GOING TO IRAN  HOPE WE WON'T HAVE TO USE IT
2026-01-27|06:48:14|🇯🇵 *KATAYAMA: TO TAKE APPROPRIATE STEPS ON FX COORDINATING WITH US    *KATAYAMA: WILL TAKE ACTION IN LINE WITH US-JAPAN FX AGREEMENT
2026-01-27|06:48:15|TRUMP: NYC HEADING IN THE WRONG DIRECTION AT THE MOMENT
2026-01-27|06:53:14|YALE WILL GO TUITION-FREE FOR FAMILIES MAKING UP TO $200 000
2026-01-27|06:54:14|TRUMP: HAD 'RESPECTFUL' CALLS WITH FREY  WALZ
2026-01-27|06:59:14|TRUMP: GREENLAND IS COMING ALONG WELL
2026-01-27|07:05:14|**TRUMP BOASTS ABOUT ISRAEL  DAVOS  GREENLAND & MORE**  President Trump claimed in a radio interview that Israel wouldn’t exist without his actions  including U.S. strikes on Iran. He also said the U.S. has sent a large naval force toward Iran but hopes it won’t be needed.  Trump praised New York Mayor Zohran Mamdani’s character while criticizing his policies.  Separately  Trump called Davos 2026 “the best” summit yet and expressed satisfaction with U.S. dealings on Greenland and operations in Venezuela. He also commented on the war in Ukraine and said he hopes the conflict will end.
2026-01-27|07:08:14|**SAMSUNG’S $2 899 TRIFOLD PHONE**  Samsung’s new Galaxy Z TriFold will launch in the U.S. on Jan. 30 for $2 899  making it the most expensive smartphone on the market. It unfolds into a 10-inch tablet  is ultra-thin when open  and supports 200 000 folds.  The device will be sold only through Samsung  not carriers  and comes in one black 512GB model. While praised for its large display  it’s heavy  bulky when folded  and its software feels unfinished for the price—making it more a luxury showcase than a mass-market product.
2026-01-27|07:16:14|CANADA PM CARNEY: TOLD TRUMP “I MEANT WHAT I SAID IN DAVOS”  CANADA RESPONDING TO CHANGE IN US TRADE POLICY
2026-01-27|07:16:15|CANADA PM CARNEY: DID NOT WALK BACK DAVOS COMMENTS
2026-01-27|07:36:14|US DOLLAR EXTENDS FALL VS YEN  SLIDES BELOW 153  LAST DOWN 0.8% AT 152.94 YEN
2026-01-27|07:50:14|TRUMP ADMINISTRATION SUED OVER TWO DEATHS IN BOAT STRIKE OFF VENEZUELA'S COAST
2026-01-27|07:50:15|EUR/USD 1-YEAR OPTIONS MOST BULLISH SINCE MARCH 2020
2026-01-27|07:51:14|**CITI SEES SILVER AT $150**  Citi raised its silver price target to $150/oz from $100  citing strong speculative demand and tightening physical supply outside the U.S. It warns short-term profit-taking from Chinese investors could pressure prices. Silver futures are down 5.7% after jumping to over $115/oz on Monday.
2026-01-27|08:01:14|*US JAN. CONSUMER CONFIDENCE 84.5; EST. 91.0
2026-01-27|08:17:14|U.S. STOCKS EXTEND FALL  DOW JONES DOWN 1.00%
2026-01-27|08:31:14|*POUND CLIMBS TO HIGHEST LEVEL VERSUS DOLLAR SINCE OCT. 2021
2026-01-27|08:35:14|**DOOMSDAY CLOCK MOVES TO 85 SECONDS TO MIDNIGHT**  The “Doomsday Clock ” a symbol of humanity’s proximity to catastrophe  has moved to 85 seconds to midnight  the closest in its 80-year history. Alexandra Bell of the Bulletin of the Atomic Scientists said progress on existential threats  including nuclear war and climate change  remains insufficient.  The clock  first unveiled in 1947  has shifted over two dozen times  with its farthest point from midnight at 17 minutes in 1991 after the Cold War ended. Recent moves reflect rising global risks  from cyber warfare to conflicts like Russia’s war in Ukraine.
2026-01-27|08:46:14|**DOLLAR HITS MULTIYEAR LOWS**  The U.S. dollar dropped 0.8% Tuesday  nearing its lowest level in nearly four years and marking its worst four-day decline since April. Speculation rose after the Treasury signaled potential support for the yen. Japan’s finance minister said it could act in forex markets if needed  while the dollar fell sharply versus the yen  euro  pound  and franc.
2026-01-27|08:56:16|🇺🇸IM**MIGRATION CRACKDOWN SLOWS U.S. POPULATION GROWTH  **U.S. population growth slowed to 0.5% in the year ending June 2025  reaching 341.8 million—the slowest pace since the pandemic. Net immigration fell to 1.3 million  half last year’s level. Five states—Vermont  Hawaii  West Virginia  New Mexico  and California—saw population declines  up from two the prior year.
2026-01-27|09:11:14|BIDEN: MINNESOTA VIOLENCE 'BETRAYS OUR MOST BASIC VALUES'
2026-01-27|09:19:14|S&P 500 HITS INTRADAY RECORD HIGH
2026-01-27|09:41:14|U.S. DOLLAR INDEX AT NEAR FOUR-YEAR LOW; LAST DOWN 0.95% AT 96.17
2026-01-27|10:03:14|LVMH CEO BERNARD ARNAULT: GLOBAL MARKET IS DIFFICULT AND DISTURBED
2026-01-27|10:04:14|LVMH CEO ARNAULT: ECONOMIC CONTEXT IS UNPREDICTABLE
2026-01-27|10:07:14|TRUMP: GREAT CHAT W PRESIDENT OF SYRIA
2026-01-27|10:08:14|TRUMP:  HOMAN IN MINNEAPOLIS MEETING GOVERNOR AND MAYOR LATER
2026-01-27|10:08:15|TRUMP ON FED:  WANT INTEREST RATES TO GO DOWN
2026-01-27|10:10:14|Thousands of Chinese EVs Can Move Into North American Car Market in Previously Announced Deal -- WSJ  Canada's Move to Import Cheap Chinese EVs is 'Slippery Slope ' GM CEO Says -- WSJ  New Low Tariff on Chinese EVs in Canada Could Hurt North American Jobs  Security  GM CEO Says -- WSJ
2026-01-27|10:13:15|TRUMP: VERY GOOD THINGS ARE HAPPENING ON UKRAINE AND RUSSIA
2026-01-27|10:16:16|TRUMP ON SOUTH KOREA TARIFF THREAT: WE'LL WORK SOMETHING OUT
2026-01-27|10:18:15|SPOT PLATINUM  EXTENDS FALLS  LAST DOWN OVER 8% TO $2 519.45/OZ
2026-01-27|11:07:14|U.S. GOVERNMENT TO SOON ISSUE GENERAL LICENSE LIFTING SOME SANCTIONS ON VENEZUELAN OIL INDUSTRY  SOURCES SAY
2026-01-27|11:12:14|*NYC POWER PRICE WEDNESDAY RISES 31% TO RECORD IN FRIGID BLAST
2026-01-27|11:43:14|PERSON IN CRITICAL CONDITION AFTER BEING SHOT IN INCIDENT INVOLVING BORDER PATROL IN ARIZONA
2026-01-27|12:59:15|TRUMP: HEARING THAT GREAT COUNTRY OF IRAQ MIGHT MAKE A VERY BAD CHOICE BY REINSTALLING NOURI AL-MALIKI AS PRIME MINISTER  TRUMP: IF ELECTED  UNITED STATES OF AMERICA WILL NO LONGER HELP IRAQ
2026-01-27|13:30:16|U.S. TAKES FIRST STEPS TOWARD POSSIBLE REOPENING OF EMBASSY IN CARACAS FOR LIMITED TEMPORARY FUNCTIONS
2026-01-27|13:42:15|TRUMP: TOM HOMAN IS IN MINNESOTA; HE MET THE GOVERNOR AND WILL MEET MINNEAPOLIS MAYOR; IT'S GOING VERY WELL
2026-01-27|13:48:15|Trump: The value of dollar is great. It's doing great.
2026-01-27|13:49:15|TRUMP: CUBA WILL BE FAILING VERY SOON
2026-01-27|13:49:16|TRUMP: ALEX PRETTI SHOULD NOT HAVE BEEN CARRYING A GUN
2026-01-27|13:49:17|*TRUMP ON DOLLAR: CAN HAVE IT UP OR DOWN LIKE A YO YO
2026-01-27|13:50:15|*TRUMP DOESN'T THINK DOLLAR DECLINED TOO MUCH
2026-01-27|13:50:16|*TRUMP: DOLLAR SEEKING ITS OWN LEVEL  WHICH IS FAIR
2026-01-27|13:50:17|*TRUMP: DOLLAR IS DOING GREAT
2026-01-27|13:50:18|*TRUMP ISN'T CONCERNED ABOUT DECLINE IN DOLLAR
2026-01-27|13:54:15|*DOLLAR TUMBLES AFTER TRUMP SAYS NOT CONCERNED WITH ITS DECLINE
2026-01-27|14:03:15|Euro surges above $1.20 on US currency for 1st time since 2021
2026-01-27|14:30:15|TRUMP ON MINNESOTA: NOT A PULLBACK  BUT A CHANGE -FOX NEWS INTERVIEW
2026-01-27|14:30:16|TRUMP: DEMOCRATS WILL PROBABLY IMPEACH ME IF THEY WIN MIDTERMS
2026-01-27|14:30:17|US TRADE REPRESENTATIVE GREER: THE US IS STILL IMPOSING A 50% TARIFF RATE ON INDIAN GOODS
2026-01-27|14:30:18|*TRUMP: WE WILL DEESCALATE A BIT IN MINNESOTA
2026-01-27|14:31:15|TRUMP: WE'RE TAKING IN SO MUCH MONEY WITH TARIFFS
2026-01-27|14:34:15|TRUMP: WE WILL FIND ANOTHER WAY IF THE SUPREME COURT STRIKES TARIFFS. TARIFFS HAVE BEEN INDISPENSABLE TOWARD SUCCESS
2026-01-27|14:36:15|TRUMP: WE HAVE TO USE TARIFFS FOR WORLD PEACE. IT WILL BE MORE INCONVENIENT IF SCOTUS STRIKES DOWN TARIFFS
2026-01-27|14:37:15|TRUMP: FARMERS WILL BE THE BIGGEST BENEFICIARIES OF TARIFFS
